2021-07-19-10,52,어떻게 이별까지 사랑하겠어 널 사랑하는 거지,AKMU (악동뮤지션),항해,32061975,2019.09.25,발라드,2400,354148
2021-07-19-10,53,내사람,SG 워너비,The Precious History,1500196,2006.11.15,R&B/Soul,260,67060
2021-07-19-10,54,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2,33618864,2021.06.25,발라드_ 국내드라마,154,23875
2021-07-19-10,55,Coin,아이유,IU 5th Album 'LILAC',33372783,2021.03.25,R&B/Soul,1161,97602
2021-07-19-10,56,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),쇼미더머니 9 Episode 1,33077590,2020.11.21,랩/힙합,4857,187110
2021-07-19-10,57,어푸 (Ah puh),아이유,IU 5th Album 'LILAC',33372788,2021.03.25,댄스,914,87783
2021-07-19-10,58,METEOR,창모 (CHANGMO),Boyhood,32224272,2019.11.29,랩/힙합,5053,265920
2021-07-19-10,59,On The Ground,로제 (ROSÉ),R,33346446,2021.03.12,록/메탈,1616,132758
2021-07-19-10,60,2002,Anne-Marie,Speak Your Mind (Deluxe),31029291,2018.08.03,POP,973,364340
2021-07-19-10,61,다시 사랑할 수 있을까,백지영,다시 사랑할 수 있을까,33655615,2021.07.07,발라드,60,10902
2021-07-19-10,62,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,33107649,2020.12.03,발라드,135,56787
2021-07-19-10,63,과제곡 (교수님 죄송합니다),이무진,과제곡,33695837,2021.07.17,록/메탈,353,16174
2021-07-19-10,64,러브(Prod.로코베리),로꼬,Love(Prod.Rocoberry),33645879,2021.07.04,랩/힙합,95,20589
2021-07-19-10,65,12:45 (Stripped),Etham,12:45 (Stripped),31509376,2018.10.26,POP,247,142860
2021-07-19-10,66,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,32003395,2019.08.23,록/메탈_ 국내드라마,1485,290050
2021-07-19-10,67,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),33011180,2020.10.23,발라드_ 인디음악,260,106912
2021-07-19-10,68,허리춤,오반 (OVAN),허리춤,33601086,2021.06.21,랩/힙합_ 인디음악,90,20144
2021-07-19-10,69,나는 너 좋아,장범준,슬기로운 의사생활 시즌2 OST Part 3,33638428,2021.07.02,록/메탈_ 국내드라마,83,12693
2021-07-19-10,70,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내,32438894,2020.03.05,랩/힙합_ 인디음악,2210,162695
2021-07-19-10,71,모든 날 모든 순간 (Every day Every Moment),폴킴,'키스 먼저 할까요?' OST Part.3,30962526,2018.03.20,발라드_ 국내드라마,1029,371502
2021-07-19-10,72,오래된 노래,스탠딩 에그,오래된 노래,3894276,2012.09.04,인디음악_ 포크/블루스,611,230634
2021-07-19-10,73,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,32224166,2019.11.30,발라드_ 인디음악,219,81629
2021-07-19-10,74,Bad Habits,Ed Sheeran,Bad Habits,33623210,2021.06.25,POP,151,23046
